#,Name,Nationality,Calling Code,Mail Lead Time,GMT Offset
105,Afghanistan,,93,5,-1
110,Aland Islands,,358,5,-1
115,Albania,,355,5,-1
120,Algeria,,213,5,-1
125,American Samoa,,1,5,-1
130,Andorra,,376,5,-1
150,Angola,,244,5,-1
160,Anguilla,,1,5,-1
163,Antarctica,,672,5,-1
165,Antigua And Barbuda,,1,5,-1
170,Argentina,,54,5,-1
172,Armenia,,374,5,-1
176,Aruba,,297,5,-1
180,Ascension Island,,247,5,-1
190,Australia,,61,5,-1
193,Austria,,43,5,-1
196,Azerbaijan,,994,5,-1
202,Bahamas,,1,5,-1
205,Bahrain,Bahrainian,973,5,-1
210,Bangladesh,Bangladeshee,880,5,-1
212,Barbados,Barbadean,1,5,-1
230,Belarus,Belarusian,375,5,-1
231,Belgium,,32,5,-1
232,Belize,,501,5,-1
233,Benin,,229,5,-1
235,Bermuda,,1,5,-1
238,Bhutan,,975,5,-1
240,Bolivia,,591,5,-1
245,Bonaire Saint Eustatius And Saba,,-1,5,-1
250,Bosnia And Herzegovina,,387,5,-1
255,Botswana,Botswanian,267,5,-1
260,Bouvet Island,,-1,5,-1
272,Brazil,,55,5,-1
276,British Indian Ocean Territory,,246,5,-1
280,Brunei Darussalam,,673,5,-1
290,Bulgaria,,-1,5,-1
293,Burkina Faso,,226,5,-1
296,Burundi,,257,5,-1
300,Cambodia,,855,5,-1
301,Cameroon,Camerese,237,5,-1
303,Canada,Canadian,1,5,-1
305,Canary Islands,,34,5,-1
308,Cape Verde,,238,5,-1
310,Cayman Islands,,1,5,-1
315,Central African Republic,,236,5,-1
317,Ceuta and Melilla,,34,5,-1
320,Chad,,235,5,-1
325,Chile,Chilean,56,5,-1
327,China,Chinese,86,5,-1
330,Christmas Island,,61,5,-1
340,Cocos (Keeling) Island,,61,5,-1
350,Colombia,,57,5,-1
352,Comoros,,269,5,-1
355,Congo,Congolese,242,5,-1
356,Congo- Democratic Republic Of,,243,5,-1
358,Cook Islands,,682,5,-1
360,Costa Rica,,506,5,-1
370,Cote D'Ivoire,,225,5,-1
385,Croatia,,385,5,-1
389,Cuba,,53,5,-1
393,Curacao,,-1,5,-1
395,Cyprus,Cyprian,357,5,-1
398,Czech Republic,Czech,420,5,-1
430,Denmark,Dane,45,5,-1
440,Djibouti,,253,5,-1
450,Dominica,,1,5,-1
460,Dominican Republic,,1,5,-1
510,Ecuador,,593,5,-1
550,Egypt,Egyptian,20,5,-1
552,El Salvador,,503,5,-1
554,Equatorial Guinea,,240,5,-1
557,Eritrea,,291,5,-1
560,Estonia,,372,5,-1
570,Ethiopia,,251,5,-1
603,Falkland Islands,,500,5,-1
606,Faroe Islands,,298,5,-1
610,Fiji,Fijan,679,5,-1
615,Finland,Fin,358,5,-1
670,France,French,33,5,-1
675,French Guiana,,594,5,-1
680,French Polynesia,,689,5,-1
685,French Southern Territories,,262,5,-1
702,Gabon,,241,5,-1
705,Gambia,,220,5,-1
707,Georgia,,995,5,-1
710,Germany,German,49,5,-1
715,Ghana,,233,5,-1
725,Gibraltar,,350,5,-1
775,Greece,Greek,30,5,-1
777,Greenland,,299,5,-1
779,Grenada,,1,5,-1
780,Guadeloupe,Guadeloupean,590,5,-1
782,Guam,,1,5,-1
784,Guatemala,,502,5,-1
788,Guernsey,,44,5,-1
790,Guinea,,224,5,-1
792,Guinea- Bissau,,245,5,-1
798,Guyana,,592,5,-1
805,Haiti,,509,5,-1
825,Heard Island And Mcdonald Islands,,-1,5,-1
840,Holy See- Vatican City State,Catholic,39,5,-1
847,Honduras,,504,5,-1
850,Hong Kong,,852,5,-1
880,Hungary,Hungarian,36,5,-1
935,Iceland,,354,5,-1
945,India,,91,5,-1
950,Indonesia,,62,5,-1
970,Iran,Iranian,98,5,-1
971,Iraq,,964,5,-1
972,Ireland,Irish,353,5,-1
974,Isle Of Man,,44,5,-1
978,Israel,,972,5,-1
980,Italy,Italian,39,5,-1
1005,Jamaica,,1,5,-1
1010,Japan,,81,5,-1
1025,Jersey,,44,5,-1
1070,Jordan,Jordanian,962,5,-1
1109,Kazakhstan,Kazakh,7,5,-1
1120,Kenya,,254,5,-1
1130,Kiribati,,686,5,-1
1170,Korea- North,North Korean,850,5,-1
1171,Korea- South,South Korean,82,5,-1
1190,Kuwait,Kuwaitee,965,5,-1
1195,Kyrgyzstan,,996,5,-1
1205,Laos,Laoian,856,5,-1
1210,Latvia,,371,5,-1
1225,Lebanon,Lebanese,961,5,-1
1227,Lesotho,,266,5,-1
1230,Liberia,,231,5,-1
1233,Libya,,218,5,-1
1234,Liechtenstein,,423,5,-1
1236,Lithuania,,370,5,-1
1296,Luxembourg,,352,5,-1
1300,Macao,,853,5,-1
1301,Macedonia,,389,5,-1
1302,Madagascar,,261,5,-1
1304,Malawi,,265,5,-1
1305,Malaysia,,60,5,-1
1310,Maldives,Maldivian,960,5,-1
1312,Mali,,223,5,-1
1315,Malta,,356,5,-1
1316,Marshall Islands,,692,5,-1
1318,Martinique,,596,5,-1
1319,Mauritania,,222,5,-1
1320,Mauritius,Mauritian,230,5,-1
1325,Mayotte,,269,5,-1
1330,Mexico,,52,5,-1
1335,Micronesia,,691,5,-1
1345,Moldova,,373,5,-1
1347,Monaco,,377,5,-1
1350,Mongolia,,976,5,-1
1360,Montenegro,,382,5,-1
1365,Montserrat,,1,5,-1
1370,Morocco,,212,5,-1
1375,Mozambique,,258,5,-1
1396,Myanmar,,95,5,-1
1405,Namibia,,264,5,-1
1410,Nauru,,674,5,-1
1415,Nepal,,977,5,-1
1420,Netherlands,Dutch,31,5,-1
1422,Netherlands Antilles,,599,5,-1
1424,New Caledonia,,687,5,-1
1426,New Zealand,Kiwi,64,5,-1
1428,Nicaragua,,505,5,-1
1429,Niger,,227,5,-1
1430,Nigeria,,234,5,-1
1435,Niue,,683,5,-1
1440,Norfolk Island,,672,5,-1
1445,Northern Mariana Islands,,1,5,-1
1455,Norway,Norse,47,5,-1
1555,Oman,,968,5,-1
1601,Pakistan,Pakistani,92,5,-1
1602,Palau,,680,5,-1
1603,Palestine,,970,5,-1
1604,Panama,,507,5,-1
1605,Papua New Guinea,,675,5,-1
1610,Paraguay,,595,5,-1
1618,Peru,,51,5,-1
1620,Philippines,Philippino,63,5,-1
1630,Pitcairn,,872,5,-1
1655,Poland,Polish,48,5,-1
1660,Portugal,,351,5,-1
1680,Puerto Rico,,1,5,-1
1705,Qatar,,974,5,-1
1830,Reunion,,262,5,-1
1860,Romania,,40,5,-1
1890,Russia,,7,5,-1
1896,Rwanda,,250,5,-1
1900,Saint Barthelemy,,-1,5,-1
1901,Saint Helena,,290,5,-1
1902,Saint Kitts And Nevis,,1,5,-1
1903,Saint Lucia,,1,5,-1
1904,Saint Martin- French Part,,-1,5,-1
1905,Saint Pierre And Miquelon,,508,5,-1
1906,Saint Vincent And The Grenadines,,1,5,-1
1907,Samoa,,685,5,-1
1908,San Marino,,378,5,-1
1909,Sao Tome And Principe,,239,5,-1
1910,Saudi Arabia,,966,5,-1
1912,Scotland,Scottish,-1,5,-1
1914,Senegal,,221,5,-1
1916,Serbia,,381,5,-1
1918,Seychelles,,248,5,-1
1920,Sierra Leone,,232,5,-1
1922,Singapore,Singaporean,65,5,-1
1926,Sint Maarten- Dutch Part,,-1,5,-1
1940,Slovakia,,421,5,-1
1945,Slovenia,,386,5,-1
1950,Solomon Islands,Solomon Islander,677,5,-1
1952,Somalia,,252,5,-1
1953,Somaliland,,252,5,-1
1955,South Africa,,27,5,-1
1960,South Georgia And The South Sandwich Islands,,-1,5,-1
1965,Spain,Spanierd,34,5,-1
1975,Sri Lanka,,94,5,-1
1985,Sudan,,249,5,-1
1987,Suriname,,597,5,-1
1988,Svalbard And Jan Mayen,,47,5,-1
1989,Swaziland,,268,5,-1
1990,Sweden,Swede,46,5,-1
1993,Switzerland,Swiss,41,5,-1
1995,Syria,,963,5,-1
2005,Taiwan,,886,5,-1
2007,Tajikistan,,992,5,-1
2010,Tanzania,,255,5,-1
