#,Name,Nationality,Calling Code,Mail Lead Time,GMT Offset
1,Afghanistan,,93,5,-1
2,Aland Islands,,358,5,-1
3,Albania,,355,5,-1
4,Algeria,,213,5,-1
5,American Samoa,,1,5,-1
6,Andorra,,376,5,-1
7,Angola,,244,5,-1
8,Anguilla,,1,5,-1
9,Antarctica,,672,5,-1
10,Antigua And Barbuda,,1,5,-1
11,Argentina,,54,5,-1
12,Armenia,,374,5,-1
13,Aruba,,297,5,-1
14,Australia,,61,5,-1
15,Austria,,43,5,-1
16,Azerbaijan,,994,5,-1
17,Bahamas,,1,5,-1
18,Bahrain,Bahrainian,973,5,-1
19,Bangladesh,Bangladeshee,880,5,-1
20,Barbados,Barbadean,1,5,-1
21,Belarus,Belarusian,375,5,-1
22,Belgium,,32,5,-1
23,Belize,,501,5,-1
24,Benin,,229,5,-1
25,Bermuda,,1,5,-1
26,Bhutan,,975,5,-1
27,Bolivia,,591,5,-1
28,Bosnia And Herzegovina,,387,5,-1
29,Botswana,Botswanian,267,5,-1
30,Bouvet Island,,-1,5,-1
31,Brazil,,55,5,-1
32,Brunei Darussalam,,673,5,-1
33,Bulgaria,,-1,5,-1
34,Burkina Faso,,226,5,-1
35,Burundi,,257,5,-1
36,Cambodia,,855,5,-1
37,Cameroon,Camerese,237,5,-1
38,Canada,Canadian,1,5,-1
39,Canary Islands,,34,5,-1
40,Cape Verde,,238,5,-1
41,Cayman Islands,,1,5,-1
42,Central African Republic,,236,5,-1
43,Chad,,235,5,-1
44,Channel Islands,,1,5,-1
45,Chile,Chilean,56,5,-1
46,China,Chinese,86,5,-1
47,Christmas Island,,61,5,-1
48,Cocos (Keeling) Island,,61,5,-1
49,Colombia,,57,5,-1
50,Comoros,,269,5,-1
51,Congo,Congolese,242,5,-1
52,Congo- Democratic Republic Of,,243,5,-1
53,Cook Islands,,682,5,-1
54,Costa Rica,,506,5,-1
55,Cote D'Ivoire,,225,5,-1
56,Croatia,,385,5,-1
57,Cyprus,Cyprian,357,5,-1
58,Czech Republic,Czech,420,5,-1
59,Denmark,Dane,45,5,-1
60,Djibouti,,253,5,-1
61,Dominica,,1,5,-1
62,Dominican Republic,,1,5,-1
63,East Timor,,670,5,-1
64,Ecuador,,593,5,-1
65,Egypt,Egyptian,20,5,-1
66,El Salvador,,503,5,-1
67,Equatorial Guinea,,240,5,-1
68,Eritrea,,291,5,-1
69,Estonia,,372,5,-1
70,Ethiopia,,251,5,-1
71,Falkland Islands,,500,5,-1
72,Faroe Islands,,298,5,-1
73,Fiji,Fijan,679,5,-1
74,Finland,Fin,358,5,-1
75,France,French,33,5,-1
76,French Guiana,,594,5,-1
77,French Polynesia,,689,5,-1
78,French Southern Territories,,262,5,-1
79,Gabon,,241,5,-1
80,Gambia,,220,5,-1
81,Georgia,,995,5,-1
82,Germany,German,49,5,-1
83,Ghana,,233,5,-1
84,Gibraltar,,350,5,-1
85,Greece,Greek,30,5,-1
86,Greenland,,299,5,-1
87,Grenada,,1,5,-1
88,Guadeloupe,Guadeloupean,590,5,-1
89,Guam,,1,5,-1
90,Guatemala,,502,5,-1
91,Guernsey,,44,5,-1
92,Guinea,,224,5,-1
93,Guinea- Bissau,,245,5,-1
